schema,     text,       watts, milliseconds
    S1,  1Ko.txt,   43378.968,   104475.934
    S1,  3Ko.txt,  105453.085,   234990.799
    S1,  5Ko.txt,  163180.881,   349456.492
    S1,  9Ko.txt,  282402.342,   594976.884
    S1, 12Ko.txt,  390004.990,   844457.617
    S1, 14Ko.txt,  438802.432,   921484.587
    S1, 16Ko.txt,  483937.666,  1079968.387
    S2,  1Ko.txt,   53406.278,   228491.104
    S2,  3Ko.txt,  126423.280,   399484.523
    S2,  5Ko.txt,  193938.022,   543969.036
    S2,  9Ko.txt,  335335.619,   837407.807
    S2, 12Ko.txt,  455403.600,  1017440.605
    S2, 14Ko.txt,  519742.461,  1162474.936
    S2, 16Ko.txt,  589787.901,  1290470.239
    S3,  1Ko.txt,  420852.052,  1269971.558
    S3,  5Ko.txt,  579980.239,  1620978.334
    S3,  3Ko.txt,  512634.211,  1448464.745
    S3,  9Ko.txt,  734790.817,  1959466.081
    S3, 12Ko.txt,  902876.897,  2235493.839
    S3, 14Ko.txt,  956040.324,  2335470.537
    S3, 16Ko.txt, 1034007.256,  2501984.698
    S4,  1Ko.txt,  397770.250,   602966.911
    S4,  3Ko.txt,  469876.162,   788980.042
    S4,  5Ko.txt,  546069.833,   909975.739
    S4,  9Ko.txt,  704051.313,  1190955.495
    S4, 12Ko.txt,  810649.875,  1435955.385
    S4, 14Ko.txt,  916656.157,  1582479.555
    S4, 16Ko.txt, 1054108.006,  1675965.817
    S5,  1Ko.txt,  907465.978,  2086971.407
    S5,  3Ko.txt,  987390.547,  2301464.181
    S5,  5Ko.txt, 1070145.637,  2478476.498
    S5,  9Ko.txt, 1239051.299,  2750486.069
    S5, 12Ko.txt, 1333254.933,  2999457.760
    S5, 14Ko.txt, 1395332.309,  3178981.170
    S5, 16Ko.txt, 1467054.162,  3320975.756